"time","SC","SR","PPG","SR_transformed","SC_transformed","SC_z","SR_z"
8.252,1.638,6.1049,2.9157,6.1049,1.638,-0.671886467897915,0.666578167754063
8.253,1.639,6.101,2.9157,6.101,1.639,-0.6563913597827,0.649215620970043
8.254,1.64,6.097,2.9157,6.097,1.64,-0.640896251667485,0.631407880678738
8.255,1.64,6.0954,2.908,6.0954,1.64,-0.640896251667482,0.624284784562218
8.256,1.642,6.089,2.9157,6.089,1.642,-0.609906035437049,0.595792400096136
8.257,1.6436,6.084,2.9157,6.084,1.6436,-0.585113862452705,0.573532724732003
8.258,1.644,6.08,2.9523,6.08,1.644,-0.578915819206616,0.555724984440702
8.259,1.6466,6.072,2.9304,6.072,1.6466,-0.538628538107057,0.520109503858095
8.26,1.64771,6.069,2.9157,6.069,1.64771,-0.521428968099168,0.506753698639617
8.261,1.64924,6.063,2.945,6.063,1.64924,-0.497721452682883,0.480042088202662
8.262,1.6507,6.057,2.9157,6.057,1.6507,-0.475098594834666,0.453330477765706
8.263,1.6523,6.052,2.9157,6.052,1.6523,-0.450306421850323,0.431070802401577
8.264,1.6533,6.0484,2.908,6.0484,1.6533,-0.434811313735101,0.415043836139402
8.26566,1.654,6.042,2.923,6.042,1.654,-0.423964738054451,0.38655145167332
8.266,1.6563,6.0372,2.9157,6.0372,1.6563,-0.388325989389456,0.365182163323758
8.267,1.656,6.035,2.9304,6.035,1.656,-0.392974521824017,0.355387906163541
8.268,1.6579,6.031,2.9157,6.031,1.6579,-0.363533816405106,0.33758016587224
8.269,1.6584,6.029,2.9157,6.029,1.6584,-0.355786262347502,0.328676295726585
8.27,1.659,6.02421,2.9157,6.02421,1.659,-0.34648919747837,0.307351526727746
8.271,1.66,6.02,2.9157,6.02,1.66,-0.330994089363151,0.288608880071151
8.272,1.6614,6.0186,2.9157,6.0186,1.6614,-0.309300938001844,0.282376170969198
8.2736,1.662,6.016,2.908,6.016,1.662,-0.300003873132722,0.27080113977985
8.274,1.663,6.013,2.9157,6.013,1.663,-0.2845087650175,0.257445334561372
8.275,1.663,6.013,2.908,6.013,1.663,-0.2845087650175,0.257445334561372
8.276,1.663,6.013,2.908,6.013,1.663,-0.2845087650175,0.257445334561372
8.277,1.6635,6.011,2.908,6.011,1.6635,-0.276761210959893,0.248541464415721
8.278,1.664,6.009,2.908,6.009,1.664,-0.269013656902285,0.239637594270071
8.279,1.664,6.009,2.901,6.009,1.664,-0.269013656902285,0.239637594270071
8.28,1.6645,6.0075,2.901,6.0075,1.6645,-0.261266102844681,0.232959691660832
8.28166,1.664,6.009,2.9157,6.009,1.664,-0.269013656902285,0.239637594270071
8.282,1.664,6.009,2.901,6.009,1.664,-0.269013656902285,0.239637594270071
8.283,1.664,6.009,2.908,6.009,1.664,-0.269013656902285,0.239637594270071
8.284,1.664,6.009,2.908,6.009,1.664,-0.269013656902285,0.239637594270071
8.285,1.6635,6.011,2.908,6.011,1.6635,-0.276761210959893,0.248541464415721
